2298,1261
1261,2298
2298,1966
1966,1968
1968,1966
1966,1266
1266,1267
1267,1268
1268,1726
1726,1727
1727,1685
1685,1686
1686,1687
1687,1688
1688,1313
1313,1314
1314,1716
1716,1717
1717,1728
1728,1729
1729,1730
1730,1732
1732,1510
1510,1511
1511,1989
1989,1991
1991,1816
1816,1817
1817,1818
1818,1819
1819,1307
1307,1308
1308,1812
1812,1813
1813,1966
1966,1934
1934,1935
1935,1936
1936,1937
1937,1582
1582,1583
1583,1966
1966,1584
1584,1585
1585,1966
1966,1936
1936,1937
1937,1259
1259,1968
1968,2182
2182,2186
2186,1261
1261,1262
1262,2038
2038,1266
1266,2078
2078,2079
2079,2402
2402,2403
2403,1584
1584,1585
1585,2038
2038,1586
1586,1587
1587,1961
1961,1963
1963,1586
1586,1587
1587,2038
2038,1961
1961,1963
1963,1586
1586,1587
1587,1961
1961,1963
1963,1584
1584,1585
1585,2407
2407,2408
2408,2409
2409,2038
2038,1471
1471,1472
1472,1469
1469,1820
1820,1261
1261,2298
