1966,1966
1966,1266
1266,2143
2143,3062
3062,2143
2143,1966
1966,1266
1266,1267
1267,1268
1268,1726
1726,1727
1727,1966
1966,1685
1685,1686
1686,1687
1687,1688
1688,1313
1313,1314
1314,1716
1716,1717
1717,1966
1966,1728
1728,1729
1729,1730
1730,1732
1732,1966
1966,1510
1510,1511
1511,1989
1989,1991
1991,1818
1818,1819
1819,1816
1816,1817
1817,1307
1307,1308
1308,1966
1966,1266
1266,1307
1307,1308
1308,1812
1812,1813
1813,1814
1814,1815
1815,1309
1309,1310
1310,2038
2038,1311
1311,1312
1312,2041
2041,2042
2042,2043
2043,2044
2044,2045
2045,2047
2047,1939
1939,1940
1940,2038
