2489,2489
2489,1266
1266,2057
2057,2058
2058,2060
2060,2061
2061,2063
2063,2064
2064,2066
2066,2067
2067,2068
2068,1744
1744,1745
1745,1769
1769,1770
1770,2489
2489,2074
2074,2075
2075,1266
1266,1707
1707,1708
1708,2055
2055,2057
2057,2069
2069,2070
2070,2076
2076,2077
2077,2341
2341,1266
1266,2078
2078,2079
2079,1668
1668,1669
1669,2609
2609,2610
2610,2273
2273,2274
2274,1629
1629,1630
1630,2628
2628,2629
2629,2258
2258,2259
2259,2098
2098,2100
2100,2101
2101,2103
2103,2114
2114,2115
2115,2116
2116,2117
2117,2125
2125,2126
2126,3128
3128,3129
3129,1999
1999,2000
2000,2105
2105,2107
2107,3130
3130,3131
3131,1902
1902,1903
1903,1904
1904,1905
1905,1926
1926,1927
1927,1928
1928,1929
1929,2341
2341,3499
3499,3472
3472,3107
3107,3109
3109,1261
1261,2422
