2422,2487
2487,3106
3106,2487
2487,2489
2489,1266
1266,2489
2489,2487
2487,3144
3144,2487
2487,3106
3106,2487
2487,3144
3144,2487
2487,1261
1261,1262
1262,2341
2341,2275
2275,2331
2331,2332
2332,2432
2432,2433
2433,2567
2567,2568
2568,2432
2432,2433
2433,2333
2333,2334
2334,2335
2335,2336
2336,2337
2337,2338
2338,2339
2339,2340
2340,2726
2726,2344
2344,2353
2353,2437
2437,2438
2438,2364
2364,2365
2365,2344
2344,2353
2353,2364
2364,2365
2365,2366
2366,2367
2367,2354
2354,2355
2355,2356
2356,2357
2357,2457
2457,2458
2458,2459
2459,2460
2460,2506
2506,2507
2507,2478
2478,2479
2479,2356
2356,2357
2357,2358
2358,2359
2359,2360
2360,2361
2361,2362
2362,2363
2363,2368
2368,2369
2369,2487
2487,3106
3106,2422
2422,1262
1262,2341
2341,1266
1266,2341
2341,1262
1262,2341
2341,2488
2488,2489
2489,2972
2972,3499
3499,1968
1968,1261
1261,2422
2422,1262
1262,2341
2341,2972
2972,3107
3107,3109
