1261,1261
1261,2327
2327,2328
2328,1968
1968,1266
1266,2319
2319,1261
1261,2327
2327,1288
1288,1261
1261,1262
1262,2319
2319,1266
1266,1752
1752,1753
1753,3039
3039,3209
3209,2730
2730,2731
2731,1586
1586,1587
1587,1936
1936,1937
1937,1987
1987,1988
1988,2319
2319,1769
1769,1770
1770,1744
1744,1745
1745,2319
2319,1266
1266,1267
1267,1268
1268,1313
1313,1314
1314,1816
1816,1817
1817,2078
2078,2079
2079,2105
2105,2107
2107,1266
1266,2055
2055,2057
2057,2058
2058,2060
2060,2061
2061,2063
2063,2064
2064,2066
2066,2319
2319,1261
1261,1262
1262,2319
2319,1266
1266,1744
1744,1745
1745,2319
2319,1266
1266,2319
2319,1261
1261,2319
2319,1266
1266,1752
1752,1753
1753,1744
1744,1745
1745,1769
1769,1770
1770,2319
2319,1606
1606,1607
1607,1604
1604,1605
1605,1808
1808,1809
1809,1786
1786,1787
1787,2319
2319,1266
1266,1744
1744,1745
1745,1761
1761,1762
1762,1802
1802,1803
1803,1804
1804,1805
1805,2319
2319,2750
2750,3496
3496,3472
3472,3107
